iter	RMSE
155	1.590146776
156	1.589999335
157	1.589887127
158	1.589767834
159	1.589659775
160	1.58960856
161	1.589529344
162	1.58939444
163	1.589301623
164	1.589210389
165	1.589132848
166	1.588996729
167	1.588891778
168	1.588770636
169	1.588721095
170	1.588667527
171	1.588613039
172	1.588498809
173	1.588387121
174	1.58828164
175	1.588212494
176	1.588139639
177	1.588068367
178	1.587922957
179	1.587837974
180	1.58773746
181	1.587595288
182	1.587464899
183	1.587360836
184	1.587297442
185	1.58721802
186	1.587135632
187	1.587073718
188	1.586962897
189	1.586855585
190	1.5867957
191	1.5867345
192	1.586636761
193	1.586539049
194	1.586419513
195	1.58630906
196	1.586205788
197	1.586077793
198	1.585999981
199	1.585916228
200	1.585811217
201	1.585683604
202	1.585606101
203	1.585514105
204	1.585419392
205	1.585321618
206	1.585204947
207	1.585130701
208	1.585052585
209	1.584987965
210	1.584888635
211	1.584832517
212	1.584765716
213	1.58469512
214	1.58462542
215	1.584523215
216	1.584447296
217	1.584360826
218	1.584240401
219	1.584148086
220	1.584019576
221	1.58395469
222	1.583912285
223	1.583849223
224	1.583750809
225	1.583631941
226	1.58354672
227	1.583440332
228	1.583386295
229	1.583295315
230	1.583188151
231	1.583089899
232	1.583003127
233	1.582932666
234	1.582828491
235	1.582715001
236	1.582602445
237	1.582550505
238	1.582450203
239	1.582369327
240	1.582301607
241	1.582200643
242	1.582085256
243	1.582012136
244	1.581919184
245	1.581812244
246	1.581718439
247	1.581613509
248	1.581499268
249	1.581432787
250	1.581358906
251	1.581270691
252	1.581186666
253	1.581109012
254	1.581045482
255	1.580934273
256	1.580833532
257	1.580725463
258	1.580668779
259	1.580571336
260	1.580450992
261	1.580385132
262	1.580266777
263	1.580166712
264	1.580075461
265	1.579987749
266	1.579927008
267	1.579874951
268	1.579758397
269	1.579651306
270	1.579591749
271	1.579506403
272	1.579424755
273	1.579314675
274	1.579275066
275	1.579190211
276	1.579117792
277	1.579039627
278	1.578897797
279	1.578856149
280	1.578795138
281	1.578672391
282	1.578562599
283	1.578485131
284	1.578351016
285	1.578242948
286	1.578149678
287	1.578072052
288	1.577918547
289	1.577828982
290	1.577767443
291	1.577636773
292	1.577508183
293	1.577404502
294	1.577272764
295	1.577220481
296	1.577143388
297	1.577057573
298	1.576910308
299	1.576845789
300	1.576747439
301	1.576664605
302	1.576598277
303	1.576531265
304	1.576474179
305	1.57640387
306	1.576305919
307	1.576244773
308	1.576142205
309	1.576111743
310	1.576063322
311	1.575959195
312	1.575939514
313	1.575830863
314	1.575755394
315	1.575635006
316	1.575527294
317	1.575477529
318	1.575401466
319	1.575293478
320	1.575237937
321	1.575176563
322	1.575100013
323	1.57500386
324	1.574898324
325	1.574805925
326	1.574759905
327	1.574693818
328	1.574598034
329	1.574547293
330	1.574447759
331	1.574389132
332	1.57428225
333	1.574217218
334	1.574093992
335	1.574041736
336	1.573945246
337	1.573873196
338	1.573781184
339	1.573683929
340	1.573603573
341	1.573542659
342	1.573466093
343	1.573327471
344	1.573244966
345	1.573196618
346	1.573135709
347	1.573056606
348	1.572988117
349	1.572916228
350	1.572844252
351	1.572795804
352	1.572741777
353	1.572644387
354	1.572592944
355	1.572511157
356	1.572439015
357	1.572353091
358	1.572261641
359	1.572160474
360	1.572088451
361	1.572026862
362	1.571959473
363	1.571860565
364	1.571800347
365	1.571712449
366	1.57165704
367	1.571588461
368	1.571489137
369	1.571403235
370	1.571316549
371	1.571250831
372	1.571152714
373	1.57103168
374	1.5709415
375	1.570852895
376	1.570751293
377	1.570665399
378	1.570597683
379	1.570498705
380	1.57043573
381	1.570386779
382	1.570237001
383	1.570096179
384	1.569997645
385	1.569912032
386	1.569800464
387	1.569677114
388	1.569603958
389	1.569524854
390	1.569424791
391	1.569376066
392	1.569319433
393	1.569206334
394	1.569153716
395	1.569047666
396	1.568965056
397	1.56886288
398	1.568777194
399	1.568709034
400	1.568683117
401	1.568601921
402	1.568511759
403	1.568440885
404	1.568338587
405	1.5682601
406	1.568176871
407	1.568093935
408	1.568018451
409	1.567927992
410	1.567846382
411	1.567752617
412	1.567646468
413	1.567570654
414	1.567482876
415	1.567437273
416	1.567374876
417	1.567304824
418	1.567206926
419	1.567105144
420	1.567064719
421	1.567001647
422	1.566874673
423	1.566749163
424	1.566706807
425	1.566618398
426	1.566464691
427	1.566358874
428	1.56631553
429	1.566238742
430	1.566179589
431	1.566123861
432	1.566052368
433	1.565946728
434	1.565872301
435	1.565775686
436	1.56573922
437	1.565620323
438	1.565579715
439	1.565501426
440	1.565426316
441	1.565385981
442	1.565288101
443	1.565183307
444	1.565102228
445	1.565012342
446	1.564968783
447	1.56488716
448	1.564849119
449	1.564763506
450	1.564683192
451	1.56461043
452	1.564539336
453	1.564481233
454	1.564415559
455	1.564355613
456	1.564254339
457	1.564182139
458	1.564091825
459	1.564028659
460	1.563913116
461	1.563825998
462	1.563750725
463	1.563666947
464	1.563610508
465	1.563595693
466	1.563501176
467	1.563423344
468	1.563350838
469	1.563240577
470	1.563183114
471	1.563089282
472	1.562984694
473	1.562920318
474	1.562791732
475	1.562705213
476	1.562618126
477	1.562523356
478	1.562429971
479	1.562354239
480	1.562302137
481	1.562199243
482	1.562088741
483	1.561964781
484	1.561862255
485	1.561775902
486	1.561726365
487	1.561674643
488	1.561586955
489	1.561507946
490	1.561433918
491	1.561353786
492	1.561273053
493	1.561190628
494	1.561122171
495	1.561053157
496	1.560999535
497	1.560945589
498	1.560877875
499	1.560801703
